Year,Month,Temperature
1960,1,0.07
1960,2,0.26
1960,3,-0.47
1960,4,-0.21
1960,5,-0.15
1960,6,-0.02
1960,7,-0.12
1960,8,0.07
1960,9,0.08
1960,10,0.11
1960,11,-0.11
1960,12,0.17
1961,1,0.09
1961,2,0.22
1961,3,0.03
1961,4,0.13
1961,5,0.17
1961,6,0.12
1961,7,0
1961,8,0.08
1961,9,0.16
1961,10,0.09
1961,11,0.08
1961,12,-0.13
1962,1,0.08
1962,2,0.16
1962,3,0.11
1962,4,0.06
1962,5,-0.11
1962,6,0.06
1962,7,-0.12
1962,8,-0.08
1962,9,0.01
1962,10,0.03
1962,11,0.1
1962,12,0.01
1963,1,-0.01
1963,2,0.24
1963,3,-0.22
1963,4,-0.18
1963,5,-0.13
1963,6,0.03
1963,7,0.06
1963,8,0.19
1963,9,0.23
1963,10,0.1
1963,11,0.06
1963,12,-0.04
1964,1,-0.06
1964,2,-0.16
1964,3,-0.27
1964,4,-0.35
1964,5,-0.33
1964,6,-0.13
1964,7,-0.08
1964,8,-0.29
1964,9,-0.36
1964,10,-0.34
1964,11,-0.21
1964,12,-0.34
1965,1,-0.05
1965,2,-0.17
1965,3,-0.11
1965,4,-0.28
1965,5,-0.15
1965,6,-0.15
1965,7,-0.26
1965,8,-0.08
1965,9,-0.26
1965,10,-0.09
1965,11,-0.13
1965,12,-0.18
1966,1,-0.21
1966,2,-0.03
1966,3,0.14
1966,4,-0.09
1966,5,-0.1
1966,6,-0.04
1966,7,0.11
1966,8,-0.1
1966,9,-0.02
1966,10,-0.26
1966,11,-0.05
1966,12,-0.08
1967,1,-0.07
1967,2,-0.25
1967,3,0.02
1967,4,-0.08
1967,5,0.18
1967,6,-0.12
1967,7,0.06
1967,8,0.04
1967,9,0.01
1967,10,0.12
1967,11,0.01
1967,12,0
1968,1,-0.2
1968,2,-0.16
1968,3,0.33
1968,4,-0.08
1968,5,-0.17
1968,6,-0.1
1968,7,-0.12
1968,8,-0.07
1968,9,-0.26
1968,10,0.07
1968,11,-0.06
1968,12,-0.21
1969,1,-0.15
1969,2,-0.25
1969,3,-0.09
1969,4,0.12
1969,5,0.16
1969,6,0.05
1969,7,-0.02
1969,8,-0.08
1969,9,0.01
1969,10,0.09
1969,11,0.09
1969,12,0.34
1970,1,0.05
1970,2,0.27
1970,3,0.11
1970,4,0.12
1970,5,-0.04
1970,6,0.12
1970,7,0.1
1970,8,-0.07
1970,9,0.16
1970,10,0.11
1970,11,0.04
1970,12,-0.1
1971,1,-0.02
1971,2,-0.13
1971,3,-0.2
1971,4,-0.04
1971,5,-0.06
1971,6,-0.2
1971,7,-0.09
1971,8,0.04
1971,9,0.03
1971,10,-0.01
1971,11,-0.1
1971,12,-0.04
1972,1,-0.28
1972,2,-0.3
1972,3,-0.06
1972,4,-0.05
1972,5,-0.02
1972,6,0.08
1972,7,0.06
1972,8,0.2
1972,9,0.06
1972,10,-0.03
1972,11,-0.04
1972,12,0.14
1973,1,0.26
1973,2,0.32
1973,3,0.37
1973,4,0.35
1973,5,0.36
1973,6,0.29
1973,7,0.21
1973,8,0.07
1973,9,0.12
1973,10,0.21
1973,11,0.11
1973,12,-0.01
1974,1,-0.05
1974,2,-0.23
1974,3,0
1974,4,-0.07
1974,5,0.03
1974,6,0.02
1974,7,-0.02
1974,8,0.14
1974,9,-0.14
1974,10,-0.07
1974,11,-0.06
1974,12,-0.03
1975,1,0.07
1975,2,0.1
1975,3,0.14
1975,4,0.05
1975,5,0.27
1975,6,0.05
1975,7,0.08
1975,8,-0.24
1975,9,-0.02
1975,10,-0.03
1975,11,-0.05
1975,12,-0.21
1976,1,0
1976,2,-0.07
1976,3,-0.3
1976,4,-0.22
1976,5,-0.23
1976,6,-0.17
1976,7,-0.16
1976,8,-0.23
1976,9,-0.15
1976,10,-0.36
1976,11,-0.16
1976,12,-0.02
1977,1,0.14
1977,2,0.23
1977,3,0.32
1977,4,0.32
1977,5,0.31
1977,6,0.33
1977,7,0.31
1977,8,0.29
1977,9,-0.08
1977,10,0.01
1977,11,0.25
1977,12,0.15
1978,1,0.14
1978,2,0.2
1978,3,0.28
1978,4,0.28
1978,5,0.21
1978,6,0.04
1978,7,0.2
1978,8,-0.14
1978,9,0.16
1978,10,0.05
1978,11,0.16
1978,12,0.12
1979,1,0.18
1979,2,-0.1
1979,3,0.26
1979,4,0.2
1979,5,0.09
1979,6,0.21
1979,7,0.05
1979,8,0.14
1979,9,0.3
1979,10,0.28
1979,11,0.3
1979,12,0.53
1980,1,0.36
1980,2,0.46
1980,3,0.42
1980,4,0.44
1980,5,0.47
1980,6,0.22
1980,7,0.38
1980,8,0.32
1980,9,0.33
1980,10,0.24
1980,11,0.29
1980,12,0.19
1981,1,0.62
1981,2,0.57
1981,3,0.67
1981,4,0.5
1981,5,0.33
1981,6,0.38
1981,7,0.51
1981,8,0.54
1981,9,0.29
1981,10,0.11
1981,11,0.22
1981,12,0.48
1982,1,0.13
1982,2,0.25
1982,3,0
1982,4,0.04
1982,5,0.26
1982,6,0.05
1982,7,0.19
1982,8,0.09
1982,9,0.1
1982,10,0.02
1982,11,0.14
1982,12,0.42
1983,1,0.49
1983,2,0.41
1983,3,0.49
1983,4,0.41
1983,5,0.49
1983,6,0.28
1983,7,0.21
1983,8,0.47
1983,9,0.57
1983,10,0.34
1983,11,0.33
1983,12,0.19
1984,1,0.24
1984,2,0.16
1984,3,0.38
1984,4,0.16
1984,5,0.46
1984,6,0.04
1984,7,0.19
1984,8,0.28
1984,9,0.28
1984,10,0.22
1984,11,0.11
1984,12,0.03
1985,1,0.32
1985,2,0.02
1985,3,0.27
1985,4,0.2
1985,5,0.21
1985,6,0.27
1985,7,0.02
1985,8,0.35
1985,9,0.26
1985,10,0.13
1985,11,0.09
1985,12,0.14
1986,1,0.38
1986,2,0.52
1986,3,0.39
1986,4,0.44
1986,5,0.34
1986,6,0.13
1986,7,0.15
1986,8,0.22
1986,9,0.04
1986,10,0.12
1986,11,0.13
1986,12,0.22
1987,1,0.45
1987,2,0.55
1987,3,0.26
1987,4,0.39
1987,5,0.31
1987,6,0.57
1987,7,0.61
1987,8,0.28
1987,9,0.38
1987,10,0.36
1987,11,0.31
1987,12,0.58
1988,1,0.68
1988,2,0.5
1988,3,0.63
1988,4,0.51
1988,5,0.63
1988,6,0.6
1988,7,0.45
1988,8,0.58
1988,9,0.56
1988,10,0.56
1988,11,0.19
1988,12,0.39
1989,1,0.26
1989,2,0.46
1989,3,0.45
1989,4,0.43
1989,5,0.19
1989,6,0.16
1989,7,0.49
1989,8,0.53
1989,9,0.55
1989,10,0.44
1989,11,0.23
1989,12,0.41
1990,1,0.53
1990,2,0.42
1990,3,0.86
1990,4,0.64
1990,5,0.56
1990,6,0.46
1990,7,0.62
1990,8,0.43
1990,9,0.31
1990,10,0.52
1990,11,0.54
1990,12,0.48
1991,1,0.5
1991,2,0.62
1991,3,0.48
1991,4,0.73
1991,5,0.43
1991,6,0.7
1991,7,0.63
1991,8,0.57
1991,9,0.64
1991,10,0.36
1991,11,0.34
1991,12,0.34
1992,1,0.51
1992,2,0.43
1992,3,0.54
1992,4,0.24
1992,5,0.27
1992,6,0.3
1992,7,0.08
1992,8,0.14
1992,9,-0.03
1992,10,0.09
1992,11,0.04
1992,12,0.26
1993,1,0.4
1993,2,0.42
1993,3,0.34
1993,4,0.31
1993,5,0.29
1993,6,0.28
1993,7,0.4
1993,8,0.22
1993,9,0.11
1993,10,0.24
1993,11,0.09
1993,12,0.18
1994,1,0.4
1994,2,0.09
1994,3,0.27
1994,4,0.54
1994,5,0.28
1994,6,0.59
1994,7,0.42
1994,8,0.27
1994,9,0.42
1994,10,0.43
1994,11,0.53
1994,12,0.44
1995,1,0.58
1995,2,0.9
1995,3,0.52
1995,4,0.59
1995,5,0.38
1995,6,0.5
1995,7,0.65
1995,8,0.57
1995,9,0.46
1995,10,0.68
1995,11,0.55
1995,12,0.41
1996,1,0.42
1996,2,0.62
1996,3,0.46
1996,4,0.51
1996,5,0.35
1996,6,0.33
1996,7,0.58
1996,8,0.78
1996,9,0.43
1996,10,0.34
1996,11,0.52
1996,12,0.54
1997,1,0.48
1997,2,0.56
1997,3,0.67
1997,4,0.4
1997,5,0.42
1997,6,0.67
1997,7,0.33
1997,8,0.44
1997,9,0.5
1997,10,0.6
1997,11,0.72
1997,12,0.69
1998,1,0.73
1998,2,1.21
1998,3,0.84
1998,4,0.82
1998,5,0.94
1998,6,1.04
1998,7,0.92
1998,8,0.86
1998,9,0.59
1998,10,0.69
1998,11,0.66
1998,12,0.79
1999,1,0.68
1999,2,0.86
1999,3,0.49
1999,4,0.4
1999,5,0.49
1999,6,0.63
1999,7,0.62
1999,8,0.54
1999,9,0.66
1999,10,0.63
1999,11,0.58
1999,12,0.51
2000,1,0.31
2000,2,0.77
2000,3,0.69
2000,4,0.74
2000,5,0.55
2000,6,0.69
2000,7,0.62
2000,8,0.61
2000,9,0.56
2000,10,0.36
2000,11,0.49
2000,12,0.49
2001,1,0.59
2001,2,0.62
2001,3,0.68
2001,4,0.6
2001,5,0.72
2001,6,0.67
2001,7,0.72
2001,8,0.63
2001,9,0.7
2001,10,0.63
2001,11,0.8
2001,12,0.74
2002,1,0.97
2002,2,0.89
2002,3,1.13
2002,4,0.8
2002,5,0.87
2002,6,0.65
2002,7,0.83
2002,8,0.68
2002,9,0.81
2002,10,0.64
2002,11,0.71
2002,12,0.55
2003,1,0.93
2003,2,0.75
2003,3,0.72
2003,4,0.68
2003,5,0.87
2003,6,0.64
2003,7,0.65
2003,8,0.85
2003,9,0.83
2003,10,0.86
2003,11,0.65
2003,12,0.88
2004,1,0.74
2004,2,0.94
2004,3,0.85
2004,4,0.77
2004,5,0.47
2004,6,0.66
2004,7,0.23
2004,8,0.57
2004,9,0.58
2004,10,0.83
2004,11,0.88
2004,12,0.69
2005,1,0.98
2005,2,0.89
2005,3,0.93
2005,4,0.83
2005,5,0.75
2005,6,0.83
2005,7,0.79
2005,8,0.73
2005,9,0.98
2005,10,1
2005,11,0.89
2005,12,0.9
2006,1,0.77
2006,2,0.91
2006,3,0.8
2006,4,0.7
2006,5,0.51
2006,6,0.77
2006,7,0.65
2006,8,0.82
2006,9,0.73
2006,10,0.83
2006,11,0.85
2006,12,0.88
2007,1,1.21
2007,2,0.93
2007,3,0.91
2007,4,0.94
2007,5,0.95
2007,6,0.67
2007,7,0.78
2007,8,0.84
2007,9,0.81
2007,10,0.8
2007,11,0.73
2007,12,0.71
2008,1,0.47
2008,2,0.45
2008,3,0.89
2008,4,0.66
2008,5,0.56
2008,6,0.5
2008,7,0.73
2008,8,0.4
2008,9,0.81
2008,10,0.73
2008,11,0.8
2008,12,0.72
2009,1,0.75
2009,2,0.75
2009,3,0.65
2009,4,0.73
2009,5,0.83
2009,6,0.8
2009,7,0.85
2009,8,0.85
2009,9,0.89
2009,10,0.72
2009,11,0.83
2009,12,0.76
2010,1,0.97
2010,2,1.05
2010,3,1.13
2010,4,1
2010,5,0.97
2010,6,0.85
2010,7,0.74
2010,8,0.82
2010,9,0.86
2010,10,0.94
2010,11,1.01
2010,12,0.69
