                                                                                           ,,,
-------------------------------------------------------------------------------------------,,,
                                                                                           ,,,
 Please cite as:                                                                           ,,,
                                                                                           ,,,
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       ",,,
" H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and   ",,,
" oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps    ",,,
" Institution of Oceanography, San Diego, 88 pages, 2001.                                   ",,,
                                                                                           ,,,
" If it is necessary to cite a peer-reviewed article, please cite as:                       ",,,
                                                                                           ,,,
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       ",,,
" H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and       ",,,
" oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,       ",,,
 in A History of Atmospheric CO2 and its effects on Plants, Animals," and Ecosystems""","     """
" editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,                 ",,,
" New York, 2005.                                                                           ",,,
                                                                                           ,,,
-------------------------------------------------------------------------------------------,,,
                                                                                           ,,,
 The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant ,,,
 formats. Column 5 below gives monthly Mauna Loa CO2 concentrations in micro-mol CO2 per   ,,,
" mole (ppm), reported on the 2008A SIO manometric mole fraction scale.  This is the        ",,,
 standard version of the data most often sought.  The monthly values have been adjusted    ,,,
 to 24:00 hours on the 15th of each month.  Column 6 gives the same data after a seasonal  ,,,
 adjustment to remove the quasi-regular seasonal cycle.  The adjustment involves           ,,,
 subtracting from the data a 4-harmonic fit with a linear gain factor.  Column 7 is a      ,,,
1970,8,324.69,325.99
1970,9,323.1,326.09
1970,10,323.07,326.17
1970,11,324.01,325.96
1970,12,325.13,325.93
1971,1,326.17,326.14
1971,2,326.68,326.04
1971,3,327.17,325.84
1971,4,327.79,325.37
1971,5,328.92,326
1971,6,328.57,326.36
1971,7,327.36,326.64
1971,8,325.43,326.74
1971,9,323.36,326.37
1971,10,323.56,326.68
1971,11,324.8,326.76
1971,12,326.01,326.82
1972,1,326.77,326.74
1972,2,327.63,326.99
1972,3,327.75,326.39
1972,4,329.73,327.28
1972,5,330.07,327.14
1972,6,329.09,326.88
1972,7,328.04,327.35
1972,8,326.32,327.66
1972,9,324.84,327.87
1972,10,325.2,328.32
1972,11,326.5,328.46
1972,12,327.55,328.36
1973,1,328.55,328.52
1973,2,329.56,328.92
1973,3,330.3,328.96
1973,4,331.5,329.07
1973,5,332.48,329.54
1973,6,332.07,329.84
1973,7,330.87,330.15
1973,8,329.31,330.63
1973,9,327.51,330.54
1973,10,327.18,330.32
1973,11,328.16,330.14
1973,12,328.64,329.45
1974,1,329.35,329.32
1974,2,330.71,330.06
1974,3,331.48,330.13
1974,4,332.65,330.21
1974,5,333.09,330.14
1974,6,332.25,330.01
1974,7,331.18,330.45
1974,8,329.39,330.72
1974,9,327.43,330.47
1974,10,327.37,330.52
1974,11,328.46,330.44
1974,12,329.57,330.39
1975,1,330.4,330.37
1975,2,331.4,330.75
1975,3,332.04,330.69
1975,4,333.31,330.86
1975,5,333.97,331.01
1975,6,333.6,331.36
1975,7,331.9,331.18
1975,8,330.06,331.38
1975,9,328.56,331.6
1975,10,328.34,331.5
1975,11,329.49,331.47
1975,12,330.76,331.58
1976,1,331.75,331.72
1976,2,332.56,331.92
1976,3,333.5,332.11
1976,4,334.58,332.11
1976,5,334.88,331.91
1976,6,334.33,332.1
1976,7,333.05,332.35
1976,8,330.94,332.3
1976,9,329.3,332.37
1976,10,328.94,332.11
1976,11,330.31,332.3
1976,12,331.68,332.5
1977,1,332.93,332.9
1977,2,333.42,332.77
1977,3,334.7,333.34
1977,4,336.07,333.61
1977,5,336.75,333.77
1977,6,336.27,334.01
1977,7,334.92,334.19
1977,8,332.75,334.09
1977,9,331.59,334.66
1977,10,331.16,334.34
1977,11,332.4,334.4
1977,12,333.85,334.67
1978,1,334.97,334.94
1978,2,335.38,334.73
1978,3,336.64,335.27
1978,4,337.76,335.29
1978,5,338.01,335.02
1978,6,337.89,335.63
1978,7,336.54,335.81
1978,8,334.68,336.03
1978,9,332.76,335.84
1978,10,332.55,335.74
1978,11,333.92,335.93
1978,12,334.95,335.77
1979,1,336.23,336.2
1979,2,336.76,336.1
1979,3,337.96,336.59
1979,4,338.88,336.4
1979,5,339.47,336.47
1979,6,339.29,337.01
1979,7,337.73,337
1979,8,336.08,337.43
1979,9,333.92,337
1979,10,333.86,337.06
1979,11,335.29,337.31
1979,12,336.73,337.56
1980,1,338.01,337.99
